epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
172,9435.08,0.67756,0.33295,0.79418,0.93334,0.88612,0.94826,0.71469,0.69752,0.33641,0.80196,0.0015355,0.0015355,0.0015355
173,9489.85,0.67411,0.33125,0.79559,0.92881,0.88734,0.94829,0.7146,0.69798,0.33636,0.80194,0.001486,0.001486,0.001486
174,9544.58,0.67389,0.32903,0.79499,0.92728,0.88897,0.9484,0.71532,0.69743,0.33643,0.80189,0.0014365,0.0014365,0.0014365
175,9599.31,0.67837,0.33647,0.79307,0.92751,0.88923,0.94857,0.71507,0.69797,0.33662,0.80188,0.001387,0.001387,0.001387
176,9653.83,0.67392,0.32752,0.79592,0.92752,0.88892,0.9486,0.71514,0.69802,0.33653,0.80184,0.0013375,0.0013375,0.0013375
177,9708.46,0.67153,0.32918,0.79107,0.92743,0.88881,0.94839,0.71564,0.69829,0.33706,0.80189,0.001288,0.001288,0.001288
178,9763.1,0.66888,0.32885,0.79241,0.92774,0.88888,0.94863,0.71533,0.69845,0.33663,0.80194,0.0012385,0.0012385,0.0012385
179,9817.78,0.6717,0.32698,0.79443,0.9269,0.88914,0.94872,0.71476,0.69884,0.33696,0.8019,0.001189,0.001189,0.001189
180,9872.71,0.67114,0.32725,0.79361,0.92667,0.88983,0.94871,0.71512,0.6986,0.33704,0.8019,0.0011395,0.0011395,0.0011395
181,9927.46,0.6764,0.33022,0.79278,0.92831,0.8882,0.94878,0.71526,0.69892,0.33723,0.8019,0.00109,0.00109,0.00109
